Index,Open,High,Low,Close,Volume,Adjusted
2010/1/4,131.179993,132.970001,130.850006,132.449997,6155300,113.304536
2010/1/5,131.679993,131.850006,130.100006,130.850006,6841400,111.935822
2010/1/6,130.679993,131.490005,129.809998,130,5605300,111.208683
2010/1/7,129.869995,130.25,128.910004,129.550003,5840600,110.823732
2010/1/8,129.070007,130.919998,129.050003,130.850006,4197200,111.935822
2010/1/11,131.059998,131.059998,128.669998,129.479996,5730400,110.763844
2010/1/12,129.029999,131.330002,129,130.509995,8081500,111.644958
2010/1/13,130.389999,131.119995,129.160004,130.229996,6455400,111.405433
2010/1/14,130.550003,132.710007,129.910004,132.309998,7111800,113.184773
2010/1/15,132.029999,132.889999,131.089996,131.779999,8494400,112.731385
2010/1/19,131.630005,134.25,131.559998,134.139999,13916200,114.750251
2010/1/20,130.460007,131.149994,128.949997,130.25,15197500,111.422546
2010/1/21,130.470001,130.690002,128.059998,129,9608600,110.353231
2010/1/22,128.669998,128.889999,125.370003,125.5,10088600,107.359151
2010/1/25,126.330002,126.889999,125.709999,126.120003,5738500,107.889534
2010/1/26,125.919998,127.75,125.410004,125.75,7135300,107.573014
2010/1/27,125.82,126.959999,125.040001,126.330002,8719200,108.069178
2010/1/28,127.029999,127.040001,123.050003,123.75,9622200,105.862111
2010/1/29,124.32,125,121.900002,122.389999,11571200,104.698697
2010/2/1,123.230003,124.949997,122.779999,124.669998,7242900,106.649125
2010/2/2,124.790001,125.809998,123.949997,125.529999,5899900,107.384814
2010/2/3,125.160004,126.07,125.07,125.660004,4177100,107.496027
2010/2/4,125.190002,125.440002,122.900002,123,9126900,105.220523
2010/2/5,123.040001,123.720001,121.830002,123.519997,8617000,105.665355
2010/2/8,123.150002,123.220001,121.739998,121.879997,5718500,104.728745
2010/2/9,122.650002,124.199997,122.459999,123.209999,6044500,105.871586
2010/2/10,122.940002,123.650002,122.209999,122.809998,5219100,105.527873
2010/2/11,122.580002,124.199997,122.059998,123.730003,5089000,106.318414
2010/2/12,123.010002,124.050003,121.610001,124,8017700,106.550416
2010/2/16,124.910004,125.230003,124.110001,125.230003,6777300,107.60733
2010/2/17,125.5,126.529999,125.209999,126.330002,5827400,108.552534
2010/2/18,126.129997,128,126,127.809998,5525900,109.824261
2010/2/19,127.349998,128.059998,126.870003,127.190002,6303100,109.291513
2010/2/22,127.300003,127.43,126.309998,126.849998,3808100,108.999355
2010/2/23,126.480003,127.660004,126,126.459999,4591900,108.664238
2010/2/24,127.019997,128.270004,126.809998,127.589996,4782000,109.635219
2010/2/25,126.050003,127.239998,125.57,127.07,5658700,109.188398
2010/2/26,127.010002,128,126.739998,127.160004,4784200,109.265736
2010/3/1,127.5,128.830002,127.470001,128.570007,4577700,110.47732
2010/3/2,128.699997,129.089996,127.129997,127.419998,6013300,109.489143
2010/3/3,127.730003,128.020004,126.68,126.879997,6390000,109.025133
2010/3/4,127.07,127.07,125.470001,126.720001,6032300,108.887652
2010/3/5,127.169998,127.550003,127.040001,127.25,6140200,109.343068
2010/3/8,127.059998,127.5,126.360001,126.410004,6199300,108.621278
2010/3/9,126.269997,126.290001,125.199997,125.550003,7528800,107.882299
2010/3/10,125.989998,126.360001,125.209999,125.620003,6916200,107.942448
2010/3/11,125.709999,127.809998,125.709999,127.599998,7922200,109.643814
2010/3/12,127.910004,128.369995,127.510002,127.940002,5169500,109.935971
2010/3/15,127.400002,128.339996,127.279999,127.830002,4497700,109.84145
2010/3/16,128,128.880005,127.449997,128.669998,6134900,110.56324
2010/3/17,128.899994,128.929993,127.360001,127.760002,6348400,109.781301
2010/3/18,127.459999,128.75,127.449997,128.380005,4954400,110.314056
2010/3/19,127.709999,128.929993,126.779999,127.709999,10744300,109.738335
2010/3/22,127.110001,128.389999,126.57,127.980003,5651900,109.970343
2010/3/23,127.940002,129.429993,127.639999,129.369995,5978500,111.164732
2010/3/24,128.630005,129.949997,128.470001,128.529999,6669300,110.442942
2010/3/25,129.360001,130.729996,129.130005,129.240005,7603200,111.053035
2010/3/26,128.929993,129.779999,128.720001,129.259995,5550800,111.070211
2010/3/29,129.300003,129.949997,128.259995,128.589996,4643000,110.494497
2010/3/30,128.899994,129.130005,128.25,128.770004,3426600,110.649173
2010/3/31,128.229996,128.75,127.650002,128.25,4904800,110.202345
2010/4/1,128.949997,129.309998,127.550003,128.25,4980500,110.202345
2010/4/5,128.380005,129.800003,128.139999,129.350006,4118700,111.147556
2010/4/6,128.679993,129.300003,128.050003,128.929993,3926300,110.786648
2010/4/7,128.529999,129.270004,128.009995,128.479996,5157000,110.399975
2010/4/8,128.039993,128.229996,127.199997,127.610001,6006900,109.652408
2010/4/9,127.879997,128.869995,127.120003,128.759995,5185100,110.640572
2010/4/12,128.570007,128.960007,128.240005,128.360001,3992300,110.296866
2010/4/13,128.259995,129.429993,127.839996,129.029999,6819100,110.872581
2010/4/14,129.729996,131.419998,129.460007,131.25,8545800,112.780178
2010/4/15,130.529999,131.139999,130.190002,130.889999,6425300,112.470838
2010/4/16,130.679993,132.169998,130.25,130.630005,9546200,112.24743
2010/4/19,130.380005,132.279999,130.380005,132.229996,11353700,113.622266
2010/4/20,129.199997,130.330002,128.259995,129.690002,15216500,111.439707
2010/4/21,129.869995,130.270004,128.5,128.990005,7559200,110.838215
2010/4/22,128.639999,129.360001,127.769997,129.130005,6018500,110.958514
2010/4/23,129.080002,130.100006,128.710007,129.990005,6197300,111.697493
2010/4/26,129.759995,131.039993,129.539993,130.729996,5285400,112.33335
2010/4/27,129.899994,132,128.710007,128.820007,10916700,110.69214
2010/4/28,129.399994,130.470001,129.029999,130.100006,7122300,111.792014
2010/4/29,130.550003,131.210007,130.149994,130.460007,5786900,112.101354
2010/4/30,130.429993,130.639999,128.839996,129,6266700,110.846803
2010/5/3,129.389999,130.139999,128.800003,129.600006,4992100,111.362375
2010/5/4,128.889999,128.929993,126.57,128.119995,8285000,110.090635
2010/5/5,127.120003,128.229996,126.870003,127.459999,6072800,109.523515
